names,date,sentences
Harvey Weinstein,1/1/17,273
Harvey Weinstein,1/8/17,749
Harvey Weinstein,1/15/17,912
Harvey Weinstein,1/22/17,614
Harvey Weinstein,1/29/17,676
Harvey Weinstein,2/5/17,413
Harvey Weinstein,2/12/17,559
Harvey Weinstein,2/19/17,477
Harvey Weinstein,2/26/17,738
Harvey Weinstein,3/5/17,581
Harvey Weinstein,3/12/17,525
Harvey Weinstein,3/19/17,521
Harvey Weinstein,3/26/17,879
Harvey Weinstein,4/2/17,571
Harvey Weinstein,4/9/17,442
Harvey Weinstein,4/16/17,622
Harvey Weinstein,4/23/17,682
Harvey Weinstein,4/30/17,644
Harvey Weinstein,5/7/17,2079
Harvey Weinstein,5/14/17,626
Harvey Weinstein,5/21/17,630
Harvey Weinstein,5/28/17,705
Harvey Weinstein,6/4/17,348
Harvey Weinstein,6/11/17,862
Harvey Weinstein,6/18/17,227
Harvey Weinstein,6/25/17,312
Harvey Weinstein,7/2/17,443
Harvey Weinstein,7/9/17,409
Harvey Weinstein,7/16/17,488
Harvey Weinstein,7/23/17,428
Harvey Weinstein,7/30/17,567
Harvey Weinstein,8/6/17,518
Harvey Weinstein,8/13/17,447
Harvey Weinstein,8/20/17,6498
Harvey Weinstein,8/27/17,30395
Harvey Weinstein,9/3/17,13612
Harvey Weinstein,9/10/17,6063
Harvey Weinstein,9/17/17,3648
Harvey Weinstein,9/24/17,3000
Harvey Weinstein,10/1/17,6824
Harvey Weinstein,10/8/17,24142
Harvey Weinstein,10/15/17,13503
Harvey Weinstein,10/22/17,8934
Harvey Weinstein,10/29/17,5839
Harvey Weinstein,11/5/17,4664
Harvey Weinstein,11/12/17,3604
Harvey Weinstein,11/19/17,2700
Harvey Weinstein,11/26/17,961
Andy Signore,1/1/17,978
Andy Signore,1/8/17,1026
Andy Signore,1/15/17,1403
Andy Signore,1/22/17,1296
Andy Signore,1/29/17,1051
Andy Signore,2/5/17,961
Andy Signore,2/12/17,1216
Andy Signore,2/19/17,769
Andy Signore,2/26/17,1101
Andy Signore,3/5/17,882
Andy Signore,3/12/17,1200
Andy Signore,3/19/17,1241
Andy Signore,3/26/17,1369
Andy Signore,4/2/17,971
Andy Signore,4/9/17,926
Andy Signore,4/16/17,1053
Andy Signore,4/23/17,1356
Andy Signore,4/30/17,1375
Andy Signore,5/7/17,911
Andy Signore,5/14/17,1011
Andy Signore,5/21/17,1188
Andy Signore,5/28/17,1273
Andy Signore,6/4/17,1326
Andy Signore,6/11/17,1141
Andy Signore,6/18/17,1125
Andy Signore,6/25/17,1403
Andy Signore,7/2/17,1602
Andy Signore,7/9/17,1925
Andy Signore,7/16/17,986
Andy Signore,7/23/17,825
Andy Signore,7/30/17,935
Andy Signore,8/6/17,842
Andy Signore,8/13/17,727
Andy Signore,8/20/17,986
Andy Signore,8/27/17,1087
Andy Signore,9/3/17,1370
Andy Signore,9/10/17,1103
Andy Signore,9/17/17,916
