date,meme,index,benchmarked_index,twitter_id
1/1/17,Salt Bae,5,1,817901590141161472
1/1/17,Man's Not Hot,6,0,904208633386369024
1/1/17,Obama + Biden Bromance,11,1,820045837891870720
1/1/17,Sad Melania,0,0,823345977029378048
1/1/17,Dancing Winnie the Pooh,29,0,817901590141161472
1/1/17,Trump Holding Executive Orders,0,0,904208633386369024
1/1/17,The Oscars Snafu,0,0,820045837891870720
1/1/17,Obamacare vs. GOP Replacement,29,0,823345977029378048
1/1/17,Crying Northwestern Kid,13,0,817901590141161472
1/1/17,Babadook,2,0,904208633386369024
1/1/17,Gorilla TED Talk,0,0,820045837891870720
1/1/17,Emoji Sheriff,18,0,823345977029378048
1/1/17,The Snapchat Hot Dog,2,0,817901590141161472
1/1/17,Distracted Boyfriend,1,0,904208633386369024
1/1/17,Taylor Swift Formation,15,1,820045837891870720
1/1/17,Joel Osteen Hiding from Harvey Victims,1,0,823345977029378048
1/1/17,Elf on the Shelf Rhymes,0,0,817901590141161472
1/1/17,First of All,1,0,904208633386369024
1/1/17,#BowWowChallenge,3,0,820045837891870720
1/1/17,Crash Bandicoot's Woah,14,0,823345977029378048
1/1/17,"Brother, May I have some Oats",11,1,817901590141161472
1/1/17,Side-eyeing Michelle Obama,6,1,904208633386369024
1/1/17,Gossiping Gosling,31,1,820045837891870720
1/1/17,Tiny Trump,1,0,823345977029378048
1/1/17,RompHim,0,0,817901590141161472
1/1/17,Donald Trump's Paper Towel Shot,2,0,904208633386369024
1/1/17,Right in Front of My Salad,0,0,820045837891870720
1/1/17,Shooting Stars,0,0,823345977029378048
1/1/17,Cracking Open a Cold One with the Boys,0,0,817901590141161472
1/1/17,Roll Safe,1,0,904208633386369024
1/1/17,Cash Me Ousside,2,2,820045837891870720
1/1/17,White Guy Blinking,0,0,823345977029378048
1/1/17,Meryl Streep Singing,2,0,817901590141161472
1/1/17,"Kendrick Lamar ""DAMN"" Cover",8,0,904208633386369024
1/1/17,Kellyanne Conway Couch,0,0,820045837891870720
1/1/17,Redbone Remix/What Redbone Sounds Like,2,0,823345977029378048
1/1/17,Tiger Woods Mug Shot,1,0,817901590141161472
1/1/17,Steph Curry High Kick,15,1,904208633386369024
1/1/17,Lebron James Mean Mug,7,1,820045837891870720
1/1/17,Mocking Spongebob,0,0,823345977029378048
1/1/17,Lavar Ball,0,0,817901590141161472
1/1/17,Singing Shaq,0,0,904208633386369024
1/1/17,The Future Liberals Want,0,0,820045837891870720
1/1/17,Expanding Brain,0,0,823345977029378048
1/1/17,The Floor Is,1,0,817901590141161472
1/1/17,Kendall Jenner's Pepsi Ad,3,0,904208633386369024
1/1/17,Fidget Spinners,0,0,820045837891870720
1/1/17,Pennywise the Clown,1,0,823345977029378048
1/1/17,But That's None of my Business,100,12,869971220938326016
1/1/17,"Homeboy's gonna, like, get it",0,0,817901590141161472
1/1/17,Trump Orb,2,0,904208633386369024
1/1/17,Bush's poncho,2,0,820045837891870720
1/1/17,BBC Dad,0,0,823345977029378048
1/1/17,Trump and Pope Francis,0,0,817901590141161472
1/1/17,13 Reasons Why,1,0,904208633386369024
1/1/17,Gold Ceelo,0,0,820045837891870720
1/1/17,#GetOutChallenge,12,1,823345977029378048
1/1/17,United Airlines,1,1,817901590141161472
1/8/17,Salt Bae,66,14,817901590141161472
1/8/17,Man's Not Hot,7,0,904208633386369024
1/8/17,Obama + Biden Bromance,84,10,820045837891870720
1/8/17,Sad Melania,0,0,823345977029378048
1/8/17,Dancing Winnie the Pooh,44,0,817901590141161472
1/8/17,Trump Holding Executive Orders,1,0,904208633386369024
1/8/17,The Oscars Snafu,2,0,820045837891870720
1/8/17,Obamacare vs. GOP Replacement,59,1,823345977029378048
1/8/17,Crying Northwestern Kid,10,0,817901590141161472
1/8/17,Babadook,4,0,904208633386369024
1/8/17,Gorilla TED Talk,0,0,820045837891870720
1/8/17,Emoji Sheriff,17,0,823345977029378048
1/8/17,The Snapchat Hot Dog,2,1,817901590141161472
1/8/17,Distracted Boyfriend,1,0,904208633386369024
1/8/17,Taylor Swift Formation,15,1,820045837891870720
1/8/17,Joel Osteen Hiding from Harvey Victims,1,0,823345977029378048
1/8/17,Elf on the Shelf Rhymes,0,0,817901590141161472
1/8/17,First of All,1,0,904208633386369024
1/8/17,#BowWowChallenge,2,0,820045837891870720
1/8/17,Crash Bandicoot's Woah,10,1,823345977029378048
1/8/17,"Brother, May I have some Oats",100,5,817901590141161472
1/8/17,Side-eyeing Michelle Obama,16,1,904208633386369024
1/8/17,Gossiping Gosling,50,1,820045837891870720
1/8/17,Tiny Trump,2,0,823345977029378048
1/8/17,RompHim,0,0,817901590141161472
1/8/17,Donald Trump's Paper Towel Shot,4,0,904208633386369024
1/8/17,Right in Front of My Salad,0,0,820045837891870720
1/8/17,Shooting Stars,0,0,823345977029378048
1/8/17,Cracking Open a Cold One with the Boys,0,0,817901590141161472
1/8/17,Roll Safe,1,0,904208633386369024
1/8/17,Cash Me Ousside,6,5,820045837891870720
1/8/17,White Guy Blinking,0,0,823345977029378048
1/8/17,Meryl Streep Singing,46,4,817901590141161472
1/8/17,"Kendrick Lamar ""DAMN"" Cover",13,0,904208633386369024
1/8/17,Kellyanne Conway Couch,0,0,820045837891870720
1/8/17,Redbone Remix/What Redbone Sounds Like,1,0,823345977029378048
1/8/17,Tiger Woods Mug Shot,1,0,817901590141161472
1/8/17,Steph Curry High Kick,23,1,904208633386369024
1/8/17,Lebron James Mean Mug,8,1,820045837891870720
1/8/17,Mocking Spongebob,0,0,823345977029378048
1/8/17,Lavar Ball,0,0,817901590141161472
1/8/17,Singing Shaq,0,0,904208633386369024
1/8/17,The Future Liberals Want,0,0,820045837891870720
1/8/17,Expanding Brain,0,0,823345977029378048
1/8/17,The Floor Is,0,0,817901590141161472
1/8/17,Kendall Jenner's Pepsi Ad,2,0,904208633386369024
1/8/17,Fidget Spinners,0,0,820045837891870720
1/8/17,Pennywise the Clown,1,0,823345977029378048
1/8/17,But That's None of my Business,94,10,869971220938326016
1/8/17,"Homeboy's gonna, like, get it",0,0,817901590141161472
1/8/17,Trump Orb,1,0,904208633386369024
1/8/17,Bush's poncho,1,0,820045837891870720
1/8/17,BBC Dad,0,0,823345977029378048
1/8/17,Trump and Pope Francis,1,0,817901590141161472
1/8/17,13 Reasons Why,1,0,904208633386369024
1/8/17,Gold Ceelo,3,0,820045837891870720
1/8/17,#GetOutChallenge,13,1,823345977029378048
1/8/17,United Airlines,1,1,817901590141161472
1/15/17,Salt Bae,100,22,817901590141161472
1/15/17,Man's Not Hot,6,0,904208633386369024
1/15/17,Obama + Biden Bromance,100,12,820045837891870720
1/15/17,Sad Melania,4,0,823345977029378048
1/15/17,Dancing Winnie the Pooh,46,1,817901590141161472
1/15/17,Trump Holding Executive Orders,2,0,904208633386369024
1/15/17,The Oscars Snafu,1,0,820045837891870720
1/15/17,Obamacare vs. GOP Replacement,70,1,823345977029378048
1/15/17,Crying Northwestern Kid,11,0,817901590141161472
1/15/17,Babadook,3,0,904208633386369024
1/15/17,Gorilla TED Talk,0,0,820045837891870720
1/15/17,Emoji Sheriff,0,0,823345977029378048
1/15/17,The Snapchat Hot Dog,2,1,817901590141161472
1/15/17,Distracted Boyfriend,1,0,904208633386369024
1/15/17,Taylor Swift Formation,14,1,820045837891870720
1/15/17,Joel Osteen Hiding from Harvey Victims,0,0,823345977029378048
1/15/17,Elf on the Shelf Rhymes,0,0,817901590141161472
1/15/17,First of All,1,0,904208633386369024
1/15/17,#BowWowChallenge,4,0,820045837891870720
1/15/17,Crash Bandicoot's Woah,9,0,823345977029378048
1/15/17,"Brother, May I have some Oats",48,2,817901590141161472
1/15/17,Side-eyeing Michelle Obama,80,6,904208633386369024
1/15/17,Gossiping Gosling,36,1,820045837891870720
1/15/17,Tiny Trump,4,0,823345977029378048
1/15/17,RompHim,0,0,817901590141161472
1/15/17,Donald Trump's Paper Towel Shot,0,0,904208633386369024
1/15/17,Right in Front of My Salad,0,0,820045837891870720
1/15/17,Shooting Stars,0,0,823345977029378048
1/15/17,Cracking Open a Cold One with the Boys,0,0,817901590141161472
1/15/17,Roll Safe,1,0,904208633386369024
1/15/17,Cash Me Ousside,40,28,820045837891870720
1/15/17,White Guy Blinking,0,0,823345977029378048
1/15/17,Meryl Streep Singing,7,0,817901590141161472
1/15/17,"Kendrick Lamar ""DAMN"" Cover",7,0,904208633386369024
1/15/17,Kellyanne Conway Couch,0,0,820045837891870720
1/15/17,Redbone Remix/What Redbone Sounds Like,1,0,823345977029378048
1/15/17,Tiger Woods Mug Shot,1,0,817901590141161472
1/15/17,Steph Curry High Kick,24,1,904208633386369024
1/15/17,Lebron James Mean Mug,16,1,820045837891870720
1/15/17,Mocking Spongebob,0,0,823345977029378048
1/15/17,Lavar Ball,0,0,817901590141161472
1/15/17,Singing Shaq,0,0,904208633386369024
1/15/17,The Future Liberals Want,0,0,820045837891870720
1/15/17,Expanding Brain,0,0,823345977029378048
1/15/17,The Floor Is,1,0,817901590141161472
1/15/17,Kendall Jenner's Pepsi Ad,3,0,904208633386369024
1/15/17,Fidget Spinners,1,0,820045837891870720
1/15/17,Pennywise the Clown,1,0,823345977029378048
1/15/17,But That's None of my Business,92,11,869971220938326016
1/15/17,"Homeboy's gonna, like, get it",2,0,817901590141161472
1/15/17,Trump Orb,1,0,904208633386369024
1/15/17,Bush's poncho,32,1,820045837891870720
1/15/17,BBC Dad,0,0,823345977029378048
1/15/17,Trump and Pope Francis,1,0,817901590141161472
1/15/17,13 Reasons Why,0,0,904208633386369024
1/15/17,Gold Ceelo,3,0,820045837891870720
1/15/17,#GetOutChallenge,17,2,823345977029378048
1/15/17,United Airlines,2,2,817901590141161472
1/22/17,Salt Bae,67,14,817901590141161472
1/22/17,Man's Not Hot,4,0,904208633386369024
1/22/17,Obama + Biden Bromance,44,6,820045837891870720
1/22/17,Sad Melania,100,6,823345977029378048
1/22/17,Dancing Winnie the Pooh,26,0,817901590141161472
1/22/17,Trump Holding Executive Orders,33,2,904208633386369024
1/22/17,The Oscars Snafu,2,0,820045837891870720
1/22/17,Obamacare vs. GOP Replacement,39,0,823345977029378048
1/22/17,Crying Northwestern Kid,8,0,817901590141161472
1/22/17,Babadook,3,0,904208633386369024
1/22/17,Gorilla TED Talk,0,0,820045837891870720
1/22/17,Emoji Sheriff,17,0,823345977029378048
1/22/17,The Snapchat Hot Dog,2,1,817901590141161472
1/22/17,Distracted Boyfriend,0,0,904208633386369024
1/22/17,Taylor Swift Formation,15,0,820045837891870720
1/22/17,Joel Osteen Hiding from Harvey Victims,1,0,823345977029378048
1/22/17,Elf on the Shelf Rhymes,0,0,817901590141161472
1/22/17,First of All,1,0,904208633386369024
1/22/17,#BowWowChallenge,4,0,820045837891870720
1/22/17,Crash Bandicoot's Woah,10,1,823345977029378048
1/22/17,"Brother, May I have some Oats",24,1,817901590141161472
1/22/17,Side-eyeing Michelle Obama,100,8,904208633386369024
1/22/17,Gossiping Gosling,27,1,820045837891870720
1/22/17,Tiny Trump,3,0,823345977029378048
1/22/17,RompHim,0,0,817901590141161472
1/22/17,Donald Trump's Paper Towel Shot,3,0,904208633386369024
1/22/17,Right in Front of My Salad,0,0,820045837891870720
1/22/17,Shooting Stars,1,0,823345977029378048
1/22/17,Cracking Open a Cold One with the Boys,0,0,817901590141161472
1/22/17,Roll Safe,0,0,904208633386369024
1/22/17,Cash Me Ousside,100,69,820045837891870720
1/22/17,White Guy Blinking,0,0,823345977029378048
1/22/17,Meryl Streep Singing,1,0,817901590141161472
1/22/17,"Kendrick Lamar ""DAMN"" Cover",10,0,904208633386369024
1/22/17,Kellyanne Conway Couch,0,0,820045837891870720
1/22/17,Redbone Remix/What Redbone Sounds Like,1,0,823345977029378048
1/22/17,Tiger Woods Mug Shot,3,0,817901590141161472
1/22/17,Steph Curry High Kick,18,0,904208633386369024
1/22/17,Lebron James Mean Mug,11,1,820045837891870720
1/22/17,Mocking Spongebob,0,0,823345977029378048
1/22/17,Lavar Ball,0,0,817901590141161472
1/22/17,Singing Shaq,0,0,904208633386369024
1/22/17,The Future Liberals Want,0,0,820045837891870720
1/22/17,Expanding Brain,0,0,823345977029378048
1/22/17,The Floor Is,1,0,817901590141161472
1/22/17,Kendall Jenner's Pepsi Ad,4,0,904208633386369024
1/22/17,Fidget Spinners,0,0,820045837891870720
1/22/17,Pennywise the Clown,2,0,823345977029378048
1/22/17,But That's None of my Business,84,10,869971220938326016
1/22/17,"Homeboy's gonna, like, get it",0,0,817901590141161472
1/22/17,Trump Orb,1,0,904208633386369024
1/22/17,Bush's poncho,100,4,820045837891870720
1/22/17,BBC Dad,0,0,823345977029378048
1/22/17,Trump and Pope Francis,2,0,817901590141161472
1/22/17,13 Reasons Why,3,0,904208633386369024
1/22/17,Gold Ceelo,0,0,820045837891870720
1/22/17,#GetOutChallenge,14,2,823345977029378048
1/22/17,United Airlines,2,1,817901590141161472
1/29/17,Salt Bae,52,12,817901590141161472
1/29/17,Man's Not Hot,6,0,904208633386369024
1/29/17,Obama + Biden Bromance,14,2,820045837891870720
1/29/17,Sad Melania,24,1,823345977029378048
1/29/17,Dancing Winnie the Pooh,100,1,817901590141161472
1/29/17,Trump Holding Executive Orders,100,5,904208633386369024
1/29/17,The Oscars Snafu,2,0,820045837891870720
1/29/17,Obamacare vs. GOP Replacement,10,0,823345977029378048
1/29/17,Crying Northwestern Kid,8,0,817901590141161472
1/29/17,Babadook,1,0,904208633386369024
1/29/17,Gorilla TED Talk,0,0,820045837891870720
1/29/17,Emoji Sheriff,16,0,823345977029378048
1/29/17,The Snapchat Hot Dog,2,1,817901590141161472
1/29/17,Distracted Boyfriend,1,0,904208633386369024
1/29/17,Taylor Swift Formation,11,0,820045837891870720
1/29/17,Joel Osteen Hiding from Harvey Victims,0,0,823345977029378048
1/29/17,Elf on the Shelf Rhymes,0,0,817901590141161472
1/29/17,First of All,1,0,904208633386369024
1/29/17,#BowWowChallenge,6,0,820045837891870720
1/29/17,Crash Bandicoot's Woah,12,1,823345977029378048
1/29/17,"Brother, May I have some Oats",12,1,817901590141161472
1/29/17,Side-eyeing Michelle Obama,12,1,904208633386369024
1/29/17,Gossiping Gosling,32,1,820045837891870720
1/29/17,Tiny Trump,1,0,823345977029378048
1/29/17,RompHim,0,0,817901590141161472
1/29/17,Donald Trump's Paper Towel Shot,5,0,904208633386369024
1/29/17,Right in Front of My Salad,0,0,820045837891870720
1/29/17,Shooting Stars,2,0,823345977029378048
1/29/17,Cracking Open a Cold One with the Boys,0,0,817901590141161472
1/29/17,Roll Safe,22,2,904208633386369024
1/29/17,Cash Me Ousside,35,24,820045837891870720
1/29/17,White Guy Blinking,0,0,823345977029378048
1/29/17,Meryl Streep Singing,2,0,817901590141161472
1/29/17,"Kendrick Lamar ""DAMN"" Cover",7,0,904208633386369024
1/29/17,Kellyanne Conway Couch,0,0,820045837891870720
1/29/17,Redbone Remix/What Redbone Sounds Like,2,0,823345977029378048
1/29/17,Tiger Woods Mug Shot,2,0,817901590141161472
1/29/17,Steph Curry High Kick,24,1,904208633386369024
1/29/17,Lebron James Mean Mug,10,1,820045837891870720
1/29/17,Mocking Spongebob,0,0,823345977029378048
1/29/17,Lavar Ball,0,0,817901590141161472
1/29/17,Singing Shaq,0,0,904208633386369024
1/29/17,The Future Liberals Want,0,0,820045837891870720
1/29/17,Expanding Brain,0,0,823345977029378048
1/29/17,The Floor Is,1,0,817901590141161472
1/29/17,Kendall Jenner's Pepsi Ad,2,0,904208633386369024
1/29/17,Fidget Spinners,1,0,820045837891870720
1/29/17,Pennywise the Clown,2,0,823345977029378048
1/29/17,But That's None of my Business,77,9,869971220938326016
1/29/17,"Homeboy's gonna, like, get it",0,0,817901590141161472
1/29/17,Trump Orb,1,0,904208633386369024
1/29/17,Bush's poncho,17,1,820045837891870720
1/29/17,BBC Dad,0,0,823345977029378048
1/29/17,Trump and Pope Francis,2,0,817901590141161472
1/29/17,13 Reasons Why,1,0,904208633386369024
1/29/17,Gold Ceelo,0,0,820045837891870720
1/29/17,#GetOutChallenge,15,1,823345977029378048
1/29/17,United Airlines,2,1,817901590141161472
2/5/17,Salt Bae,38,9,817901590141161472
2/5/17,Man's Not Hot,4,0,904208633386369024
2/5/17,Obama + Biden Bromance,8,1,820045837891870720
2/5/17,Sad Melania,10,1,823345977029378048
2/5/17,Dancing Winnie the Pooh,51,0,817901590141161472
2/5/17,Trump Holding Executive Orders,50,3,904208633386369024
2/5/17,The Oscars Snafu,1,0,820045837891870720
2/5/17,Obamacare vs. GOP Replacement,18,0,823345977029378048
2/5/17,Crying Northwestern Kid,11,0,817901590141161472
2/5/17,Babadook,1,0,904208633386369024
2/5/17,Gorilla TED Talk,0,0,820045837891870720
2/5/17,Emoji Sheriff,16,0,823345977029378048
2/5/17,The Snapchat Hot Dog,2,0,817901590141161472
2/5/17,Distracted Boyfriend,1,0,904208633386369024
2/5/17,Taylor Swift Formation,15,1,820045837891870720
2/5/17,Joel Osteen Hiding from Harvey Victims,0,0,823345977029378048
2/5/17,Elf on the Shelf Rhymes,0,0,817901590141161472
2/5/17,First of All,2,0,904208633386369024
2/5/17,#BowWowChallenge,4,0,820045837891870720
2/5/17,Crash Bandicoot's Woah,10,1,823345977029378048
2/5/17,"Brother, May I have some Oats",9,0,817901590141161472
2/5/17,Side-eyeing Michelle Obama,8,1,904208633386369024
2/5/17,Gossiping Gosling,26,1,820045837891870720
2/5/17,Tiny Trump,3,0,823345977029378048
2/5/17,RompHim,0,0,817901590141161472
2/5/17,Donald Trump's Paper Towel Shot,0,0,904208633386369024
2/5/17,Right in Front of My Salad,0,0,820045837891870720
2/5/17,Shooting Stars,6,1,823345977029378048
2/5/17,Cracking Open a Cold One with the Boys,0,0,817901590141161472
2/5/17,Roll Safe,100,9,904208633386369024
2/5/17,Cash Me Ousside,27,18,820045837891870720
2/5/17,White Guy Blinking,0,0,823345977029378048
2/5/17,Meryl Streep Singing,0,0,817901590141161472
2/5/17,"Kendrick Lamar ""DAMN"" Cover",6,0,904208633386369024
2/5/17,Kellyanne Conway Couch,0,0,820045837891870720
2/5/17,Redbone Remix/What Redbone Sounds Like,3,0,823345977029378048
2/5/17,Tiger Woods Mug Shot,1,0,817901590141161472
2/5/17,Steph Curry High Kick,22,1,904208633386369024
2/5/17,Lebron James Mean Mug,12,1,820045837891870720
2/5/17,Mocking Spongebob,0,0,823345977029378048
2/5/17,Lavar Ball,0,0,817901590141161472
2/5/17,Singing Shaq,0,0,904208633386369024
2/5/17,The Future Liberals Want,0,0,820045837891870720
2/5/17,Expanding Brain,0,0,823345977029378048
2/5/17,The Floor Is,1,0,817901590141161472
2/5/17,Kendall Jenner's Pepsi Ad,3,1,904208633386369024
2/5/17,Fidget Spinners,1,0,820045837891870720
2/5/17,Pennywise the Clown,2,0,823345977029378048
2/5/17,But That's None of my Business,73,9,869971220938326016
2/5/17,"Homeboy's gonna, like, get it",0,0,817901590141161472
2/5/17,Trump Orb,0,0,904208633386369024
2/5/17,Bush's poncho,7,0,820045837891870720
2/5/17,BBC Dad,0,0,823345977029378048
2/5/17,Trump and Pope Francis,2,0,817901590141161472
2/5/17,13 Reasons Why,2,0,904208633386369024
2/5/17,Gold Ceelo,0,0,820045837891870720
2/5/17,#GetOutChallenge,14,1,823345977029378048
2/5/17,United Airlines,1,1,817901590141161472
2/12/17,Salt Bae,24,6,817901590141161472
2/12/17,Man's Not Hot,6,0,904208633386369024
2/12/17,Obama + Biden Bromance,6,1,820045837891870720
2/12/17,Sad Melania,5,0,823345977029378048
2/12/17,Dancing Winnie the Pooh,61,1,817901590141161472
